course_number,section_number,professor,start_time,end_time,days,location
ANTH4920,002,Melissa A. Nelson,10:00,12:50,W,Wooten Hall (WH) 255
ANTH4220,001,Doug Henry,11:00,13:50,F,Life Sciences Complex (LIFE) 291
ANTH4220,002,Doug Henry,14:30,15:50,MW,Art Annex (ARTA) 128
ANTH4765,001,Jamie K. Johnson,09:00,11:50,T,Life Sciences Complex (LIFE) 308
ANTH4765,002,Jamie K. Johnson,08:30,09:50,MW,Music Building (MUSI) 135
ANTH4300,001,Jara M. Carrington,11:30,12:50,TuTh,General Academic Building (GAB) 102
ANTH4300,002,Jara M. Carrington,11:00,11:50,MWF,Gateway Center (GATE) 044
ANTH4011,001,Chelsea Hunter,09:30,10:50,MW,Wooten Hall (WH) 160
ANTH4011,002,Chelsea Hunter,15:30,16:50,MW,Life Sciences Complex (LIFE) 269
ANTH4720,001,Kimberly T. Wren,15:30,16:50,TuTh,Life Sciences Complex (LIFE) 400
ANTH4720,002,Kimberly T. Wren,14:00,16:50,T,Business Leadership Building (BLB) 017
ANTH2300,001,Jara M. Carrington,14:30,15:50,MW,Auditorium Building (AUD) 214
ANTH2300,002,Jara M. Carrington,09:30,10:50,TuTh,General Academic Building (GAB) 403
ANTH3200,001,Karine Narahara,09:00,11:50,T,Life Sciences Complex (LIFE) 224
ANTH3200,002,Karine Narahara,14:30,15:50,TuTh,Life Sciences Complex (LIFE) 117
ANTH2400,001,Melissa A. Nelson,09:00,09:50,MWF,Matthews Hall (MATT) 103
ANTH2400,002,Melissa A. Nelson,16:00,16:50,MWF,General Academic Building (GAB) 102
ANTH3110,001,Kelsey Lee,11:00,13:50,T,Auditorium Building (AUD) 215
ANTH3110,002,Kelsey Lee,08:30,09:50,MW,Life Sciences Complex (LIFE) 124
ANTH3110,003,Kimberly T. Wren,14:00,14:50,MWF,Chemistry Building (CHEM) 300
ANTH3110,004,Kimberly T. Wren,12:00,14:50,Th,Hickory Hall (HICK) 242
ANTH4900,001,Chelsea Hunter,10:00,12:50,T,Environmental Science Building (ENV) 155
ANTH4900,002,Chelsea Hunter,16:00,16:50,MWF,General Academic Building (GAB) 491
ANTH4900,003,Jamie K. Johnson,08:30,09:50,MW,General Academic Building (GAB) 449
ANTH4900,004,Jamie K. Johnson,10:00,12:50,M,Wooten Hall (WH) 120
ANTH4900,005,Karine Narahara,09:30,10:50,TuTh,Gateway Center (GATE) 126
ANTH4900,006,Karine Narahara,14:30,15:50,TuTh,Business Leadership Building (BLB) 077
ANTH4900,007,Kelsey Lee,08:30,09:50,TuTh,Gateway Center (GATE) 093
ANTH4900,008,Kelsey Lee,12:30,13:50,MW,Life Sciences Complex (LIFE) 285
ANTH4900,009,Mariela E. Nunez-Janes,11:30,12:50,MW,Chemistry Building (CHEM) 201
ANTH4900,010,Mariela E. Nunez-Janes,12:30,13:50,TuTh,Matthews Hall (MATT) 110
ANTH4900,011,Melissa A. Nelson,08:00,08:50,MWF,Matthews Hall (MATT) 103
ANTH4900,012,Melissa A. Nelson,16:00,16:50,MWF,Life Sciences Complex (LIFE) 264
BIOL4055,001,James C. Bednarz,10:30,11:50,MW,Art Annex (ARTA) 104
BIOL4055,002,James C. Bednarz,13:30,14:50,TuTh,Environmental Science Building (ENV) 140
BIOL4801,001,Rohan Balakrishnan,12:00,14:50,F,Wooten Hall (WH) 102
BIOL4801,002,Rohan Balakrishnan,09:30,10:50,MW,Business Leadership Building (BLB) 207
BIOL4380,001,Brianne K. Soulen,09:00,09:50,MWF,Hickory Hall (HICK) 209
BIOL4380,002,Brianne K. Soulen,12:30,13:50,MW,Life Sciences Complex (LIFE) 291
BIOL4091,001,Wendy Pace,11:30,12:50,MW,Chemistry Building (CHEM) 229
BIOL4091,002,Wendy Pace,12:00,14:50,M,Gateway Center (GATE) 121
BIOL1132,001,Elinor M. Lichtenberg,12:00,12:50,MWF,General Academic Building (GAB) 300
BIOL1132,002,Elinor M. Lichtenberg,10:00,10:50,MWF,Chemistry Building (CHEM) 141
BIOL1132,003,Jaime E. Jimenez,16:00,16:50,MWF,Auditorium Building (AUD) 217
BIOL1132,004,Jaime E. Jimenez,09:00,09:50,MWF,Business Leadership Building (BLB) 149
BIOL1132,005,Jason Bohenek,14:30,15:50,TuTh,Business Leadership Building (BLB) 150
BIOL1132,006,Jason Bohenek,08:00,08:50,MWF,Art Annex (ARTA) 113
BIOL1132,007,Jenny Gnau,09:00,09:50,MWF,Art Annex (ARTA) 135
BIOL1132,008,Jenny Gnau,10:30,11:50,MW,Life Sciences Complex (LIFE) 320
BIOL1132,009,Samuel J. Ogden,14:30,15:50,TuTh,General Academic Building (GAB) 105
BIOL1132,010,Samuel J. Ogden,13:00,13:50,MWF,Auditorium Building (AUD) 207
BIOL1132,011,Thom DeWitt,09:00,09:50,MWF,Language Building (LANG) 100
BIOL1132,012,Thom DeWitt,11:30,12:50,TuTh,Matthews Hall (MATT) 111
BIOL4505,001,Dane A. Crossley,11:30,12:50,MW,Life Sciences Complex (LIFE) 303
BIOL4505,002,Dane A. Crossley,14:30,15:50,TuTh,Art Building (ART) 208
BIOL4505,003,Mark Burleson,12:00,12:50,MWF,Art Annex (ARTA) 132
BIOL4505,004,Mark Burleson,13:00,15:50,M,Business Leadership Building (BLB) 038
BIOL1720,001,Ana Paula F. Hoeinghaus,12:00,12:50,MWF,General Academic Building (GAB) 327
BIOL1720,002,Ana Paula F. Hoeinghaus,13:00,13:50,MWF,Art Building (ART) 213
BIOL1720,003,Arthur J. Goven,16:00,16:50,MWF,Business Leadership Building (BLB) 054
BIOL1720,004,Arthur J. Goven,12:30,13:50,TuTh,General Academic Building (GAB) 481
BIOL1720,005,Dane A. Crossley,16:00,16:50,MWF,Hickory Hall (HICK) 243
BIOL1720,006,Dane A. Crossley,11:00,11:50,MWF,Art Annex (ARTA) 127
BIOL1720,007,Edward M. Mager,13:00,13:50,MWF,Art Building (ART) 221
BIOL1720,008,Edward M. Mager,16:30,17:50,MW,Environmental Science Building (ENV) 270
BIOL1720,009,Feng Gu,14:00,14:50,MWF,Environmental Science Building (ENV) 241
BIOL1720,010,Feng Gu,14:00,14:50,MWF,Language Building (LANG) 110
BIOL1720,011,Madhuri Inupakutika,10:00,10:50,MWF,Music Building (MUSI) 119
BIOL1720,012,Madhuri Inupakutika,08:00,08:50,MWF,Environmental Science Building (ENV) 173
BIOL1720,013,Samuel J. Ogden,13:00,13:50,MWF,Matthews Hall (MATT) 114
BIOL1720,014,Samuel J. Ogden,11:00,11:50,MWF,Wooten Hall (WH) 221
BIOL1720,015,Zacchaeus G. Compson,09:30,10:50,TuTh,Environmental Science Building (ENV) 231
BIOL1720,016,Zacchaeus G. Compson,13:00,13:50,MWF,Gateway Center (GATE) 144
BIOL4900,001,Amie K. Lund,12:30,13:50,TuTh,Life Sciences Complex (LIFE) 325
BIOL4900,002,Amie K. Lund,08:30,09:50,TuTh,General Academic Building (GAB) 362
BIOL4900,003,Anastasia Sacharidou,09:00,11:50,Th,Auditorium Building (AUD) 220
BIOL4900,004,Anastasia Sacharidou,14:30,15:50,TuTh,Matthews Hall (MATT) 306
BIOL4900,005,Andrew J. Gregory,10:30,11:50,TuTh,General Academic Building (GAB) 103
BIOL4900,006,Andrew J. Gregory,11:00,13:50,T,Wooten Hall (WH) 218
BIOL4900,007,Bojun Chen,16:00,16:50,MWF,Life Sciences Complex (LIFE) 315
BIOL4900,008,Bojun Chen,10:00,12:50,Th,Wooten Hall (WH) 243
BIOL4900,009,Brian G. Ayre,15:30,16:50,MW,Wooten Hall (WH) 209
BIOL4900,010,Brian G. Ayre,10:00,12:50,Th,Matthews Hall (MATT) 108
BIOL4900,011,Calvin A. Henard,12:30,13:50,TuTh,Wooten Hall (WH) 224
BIOL4900,012,Calvin A. Henard,12:30,13:50,TuTh,Matthews Hall (MATT) 102
BIOL4900,013,Charlie C. Williams,11:30,12:50,MW,Chemistry Building (CHEM) 185
BIOL4900,014,Charlie C. Williams,16:30,17:50,MW,Gateway Center (GATE) 057
BIOL4900,015,Douglas D. Root,11:30,12:50,TuTh,Language Building (LANG) 102
BIOL4900,016,Douglas D. Root,09:30,10:50,TuTh,Auditorium Building (AUD) 213
BIOL4900,017,Feng Gu,16:30,17:50,MW,Matthews Hall (MATT) 113
BIOL4900,018,Feng Gu,11:00,11:50,MWF,Auditorium Building (AUD) 212
BIOL4900,019,Jaime E. Jimenez,14:00,14:50,MWF,Matthews Hall (MATT) 300
BIOL4900,020,Jaime E. Jimenez,12:30,13:50,MW,Language Building (LANG) 106
BIOL4900,021,Jaime L. Baxter-Slye,15:30,16:50,TuTh,Life Sciences Complex (LIFE) 334
BIOL4900,022,Jaime L. Baxter-Slye,15:00,17:50,M,Language Building (LANG) 105
BIOL4900,023,James C. Bednarz,10:00,12:50,Th,Business Leadership Building (BLB) 146
BIOL4900,024,James C. Bednarz,08:00,10:50,M,Auditorium Building (AUD) 204
BIOL4900,025,Jason Bohenek,10:00,12:50,M,Chemistry Building (CHEM) 197
BIOL4900,026,Jason Bohenek,11:30,12:50,MW,Matthews Hall (MATT) 110
BIOL4900,027,Jyoti Shah,14:30,15:50,MW,Chemistry Building (CHEM) 292
BIOL4900,028,Jyoti Shah,12:00,14:50,M,Matthews Hall (MATT) 300
BIOL4900,029,Pamela A. Padilla,13:00,13:50,MWF,Life Sciences Complex (LIFE) 383
BIOL4900,030,Pamela A. Padilla,08:00,08:50,MWF,General Academic Building (GAB) 107
BIOL4900,031,Pudur Jagadeeswaran,08:30,09:50,TuTh,Business Leadership Building (BLB) 201
BIOL4900,032,Pudur Jagadeeswaran,15:30,16:50,TuTh,Business Leadership Building (BLB) 077
BIOL4900,033,Rajeev K. Azad,15:30,16:50,TuTh,Chemistry Building (CHEM) 296
BIOL4900,034,Rajeev K. Azad,10:30,11:50,MW,Business Leadership Building (BLB) 025
BIOL4900,035,Roisin C. McGarry,09:30,10:50,MW,Music Building (MUSI) 101
BIOL4900,036,Roisin C. McGarry,14:30,15:50,MW,Language Building (LANG) 103
BIOL4900,037,Vanessa M. Macias,11:00,11:50,MWF,Business Leadership Building (BLB) 043
BIOL4900,038,Vanessa M. Macias,08:00,08:50,MWF,Art Annex (ARTA) 134
BIOL4900,039,Warren W. Burggren,13:00,15:50,M,Wooten Hall (WH) 265
BIOL4900,040,Warren W. Burggren,08:30,09:50,MW,Auditorium Building (AUD) 215
BIOL4900,041,Xiaoqiang Wang,14:00,14:50,MWF,Art Annex (ARTA) 140
BIOL4900,042,Xiaoqiang Wang,10:00,12:50,Th,Life Sciences Complex (LIFE) 133
BIOL4900,043,Zacchaeus G. Compson,16:30,17:50,MW,Matthews Hall (MATT) 307
BIOL4900,044,Zacchaeus G. Compson,12:00,14:50,W,Life Sciences Complex (LIFE) 311
BIOL4330,001,Ione V. Hunt Von Herbing,15:30,16:50,MW,Life Sciences Complex (LIFE) 396
BIOL4330,002,Ione V. Hunt Von Herbing,14:00,16:50,W,General Academic Building (GAB) 115
BIOL2041,001,Lee E. Hughes,15:30,16:50,TuTh,Life Sciences Complex (LIFE) 245
BIOL2041,002,Lee E. Hughes,12:30,13:50,MW,Chemistry Building (CHEM) 242
BIOL2041,003,Nuzhat Farooqui,11:00,11:50,MWF,Gateway Center (GATE) 070
BIOL2041,004,Nuzhat Farooqui,16:30,17:50,MW,Life Sciences Complex (LIFE) 388
BIOL2041,005,Syeda T. Alam,15:00,15:50,MWF,Matthews Hall (MATT) 100
BIOL2041,006,Syeda T. Alam,11:00,11:50,MWF,Language Building (LANG) 103
BIOL4503,001,Brian G. Ayre,13:30,14:50,MW,Matthews Hall (MATT) 308
BIOL4503,002,Brian G. Ayre,14:30,15:50,MW,Hickory Hall (HICK) 221
BIOL4480,001,Pudur Jagadeeswaran,15:30,16:50,MW,Chemistry Building (CHEM) 178
BIOL4480,002,Pudur Jagadeeswaran,11:30,12:50,MW,Business Leadership Building (BLB) 029
BIOL4951,001,Jannon L. Fuchs,09:30,10:50,MW,Hickory Hall (HICK) 260
BIOL4951,002,Jannon L. Fuchs,11:30,12:50,TuTh,Life Sciences Complex (LIFE) 294
BIOL3900,001,Calvin A. Henard,09:30,10:50,MW,Life Sciences Complex (LIFE) 237
BIOL3900,002,Calvin A. Henard,12:30,13:50,TuTh,General Academic Building (GAB) 117
BIOL4580,001,Arland D. Alberts,12:30,13:50,TuTh,General Academic Building (GAB) 313
BIOL4580,002,Arland D. Alberts,10:30,11:50,MW,Matthews Hall (MATT) 301
BIOL2301,001,Lauren Bohenek,15:30,16:50,MW,Matthews Hall (MATT) 307
BIOL2301,002,Lauren Bohenek,08:00,08:50,MWF,Chemistry Building (CHEM) 222
BIOL4800,001,Zacchaeus G. Compson,09:00,09:50,MWF,Language Building (LANG) 107
BIOL4800,002,Zacchaeus G. Compson,08:00,08:50,MWF,Business Leadership Building (BLB) 178
BIOL4752,001,Jannon L. Fuchs,09:30,10:50,MW,Life Sciences Complex (LIFE) 315
BIOL4752,002,Jannon L. Fuchs,11:00,13:50,F,Language Building (LANG) 107
BIOL4370,001,Amie K. Lund,12:00,14:50,F,Auditorium Building (AUD) 209
BIOL4370,002,Amie K. Lund,09:00,09:50,MWF,Life Sciences Complex (LIFE) 280
BIOL3160,001,Andrew J. Gregory,10:30,11:50,TuTh,Life Sciences Complex (LIFE) 322
BIOL3160,002,Andrew J. Gregory,10:00,12:50,M,Auditorium Building (AUD) 214
BIOL4201,001,Arthur J. Goven,12:00,14:50,M,Life Sciences Complex (LIFE) 336
BIOL4201,002,Arthur J. Goven,15:30,16:50,MW,Gateway Center (GATE) 127
BIOL4201,003,Joy Ogbechi,12:30,13:50,TuTh,Music Building (MUSI) 112
BIOL4201,004,Joy Ogbechi,09:00,11:50,F,Life Sciences Complex (LIFE) 382
BIOL4260,001,Andrew J. Gregory,12:30,13:50,TuTh,Business Leadership Building (BLB) 158
BIOL4260,002,Andrew J. Gregory,10:00,10:50,MWF,Environmental Science Building (ENV) 252
BIOL4910,001,Angela Tanzillo-Swarts,15:30,16:50,MW,Business Leadership Building (BLB) 064
BIOL4910,002,Angela Tanzillo-Swarts,14:30,15:50,MW,Chemistry Building (CHEM) 228
BIOL4910,003,David J. Hoeinghaus,15:00,17:50,M,General Academic Building (GAB) 410
BIOL4910,004,David J. Hoeinghaus,12:30,13:50,MW,General Academic Building (GAB) 102
BIOL4910,005,Warren W. Burggren,08:30,09:50,TuTh,Chemistry Building (CHEM) 247
BIOL4910,006,Warren W. Burggren,10:00,10:50,MWF,Matthews Hall (MATT) 308
BIOL2251,001,Ana Paula F. Hoeinghaus,10:30,11:50,MW,Music Building (MUSI) 127
BIOL2251,002,Ana Paula F. Hoeinghaus,09:30,10:50,MW,Matthews Hall (MATT) 305
BIOL2996,001,Rajeev K. Azad,13:00,13:50,MWF,Business Leadership Building (BLB) 025
BIOL2996,002,Rajeev K. Azad,15:00,15:50,MWF,Environmental Science Building (ENV) 269
BIOL3080,001,David W. Hill,08:00,10:50,Th,Gateway Center (GATE) 080
BIOL3080,002,David W. Hill,14:30,15:50,TuTh,Wooten Hall (WH) 100
BIOL3080,003,Sarah E. Deemer,15:00,17:50,Th,General Academic Building (GAB) 348
BIOL3080,004,Sarah E. Deemer,15:30,16:50,MW,General Academic Building (GAB) 352
BIOL4300,001,Anastasia Sacharidou,16:30,17:50,MW,Business Leadership Building (BLB) 213
BIOL4300,002,Anastasia Sacharidou,15:00,17:50,M,General Academic Building (GAB) 120
BIOL4051,001,Ana Paula F. Hoeinghaus,10:30,11:50,TuTh,Environmental Science Building (ENV) 241
BIOL4051,002,Ana Paula F. Hoeinghaus,16:00,16:50,MWF,Auditorium Building (AUD) 202
BIOL4051,003,David J. Hoeinghaus,09:30,10:50,TuTh,Matthews Hall (MATT) 103
BIOL4051,004,David J. Hoeinghaus,15:30,16:50,TuTh,Environmental Science Building (ENV) 230
BIOL1500,001,Rida Nadeem,14:00,14:50,MWF,Matthews Hall (MATT) 307
BIOL1500,002,Rida Nadeem,16:00,16:50,MWF,Business Leadership Building (BLB) 238
BIOL2302,001,Anthony A. Curran,16:00,16:50,MWF,Business Leadership Building (BLB) 157
BIOL2302,002,Anthony A. Curran,14:00,14:50,MWF,Art Building (ART) 229
BIOL2302,003,Lauren Bohenek,08:30,09:50,MW,Environmental Science Building (ENV) 285
BIOL2302,004,Lauren Bohenek,15:00,15:50,MWF,Business Leadership Building (BLB) 254
BIOL2302,005,Lisa R. Welch,13:30,14:50,MW,Hickory Hall (HICK) 248
BIOL2302,006,Lisa R. Welch,13:30,14:50,MW,Life Sciences Complex (LIFE) 289
BIOL2302,007,Michelle Ravitch,14:00,14:50,MWF,Life Sciences Complex (LIFE) 399
BIOL2302,008,Michelle Ravitch,13:00,13:50,MWF,Matthews Hall (MATT) 311
BIOL3331,001,Angela Tanzillo-Swarts,14:00,16:50,Th,Business Leadership Building (BLB) 266
BIOL3331,002,Angela Tanzillo-Swarts,10:00,12:50,F,Music Building (MUSI) 121
BIOL3381,001,Nuzhat Farooqui,15:00,17:50,M,Wooten Hall (WH) 216
BIOL3381,002,Nuzhat Farooqui,10:00,10:50,MWF,Auditorium Building (AUD) 220
BIOL1722,001,Jyoti Shah,15:30,16:50,TuTh,Chemistry Building (CHEM) 186
BIOL1722,002,Jyoti Shah,14:00,14:50,MWF,Gateway Center (GATE) 149
BIOL1722,003,Pudur Jagadeeswaran,16:00,16:50,MWF,Language Building (LANG) 105
BIOL1722,004,Pudur Jagadeeswaran,15:00,15:50,MWF,Hickory Hall (HICK) 202
BIOL1722,005,Zacchaeus G. Compson,11:00,11:50,MWF,Environmental Science Building (ENV) 158
BIOL1722,006,Zacchaeus G. Compson,14:00,14:50,MWF,Business Leadership Building (BLB) 086
BIOL1750,001,Lee E. Hughes,09:00,09:50,MWF,Matthews Hall (MATT) 105
BIOL1750,002,Lee E. Hughes,08:00,08:50,MWF,General Academic Building (GAB) 383
BIOL2700,001,Anthony A. Curran,13:30,14:50,MW,Art Annex (ARTA) 127
BIOL2700,002,Anthony A. Curran,16:00,16:50,MWF,Auditorium Building (AUD) 218
BIOL2700,003,Misty Mikuls,10:30,11:50,TuTh,Life Sciences Complex (LIFE) 105
BIOL2700,004,Misty Mikuls,11:30,12:50,MW,Matthews Hall (MATT) 309
BIOL3451,001,Arland D. Alberts,12:30,13:50,MW,Matthews Hall (MATT) 108
BIOL3451,002,Arland D. Alberts,15:00,17:50,W,Hickory Hall (HICK) 210
BIOL3451,003,Fanju Meng,13:00,13:50,MWF,Music Building (MUSI) 119
BIOL3451,004,Fanju Meng,14:00,16:50,W,Matthews Hall (MATT) 109
BIOL3451,005,Jessica L. Moore,15:30,16:50,MW,Business Leadership Building (BLB) 035
BIOL3451,006,Jessica L. Moore,12:30,13:50,MW,Environmental Science Building (ENV) 105
BIOL4815,001,Rajeev K. Azad,12:00,14:50,M,Music Building (MUSI) 103
BIOL4815,002,Rajeev K. Azad,12:00,14:50,T,Art Annex (ARTA) 114
BIOL4220,001,Nicoladie D. Tam,12:30,13:50,TuTh,Business Leadership Building (BLB) 164
BIOL4220,002,Nicoladie D. Tam,12:00,12:50,MWF,Matthews Hall (MATT) 101
BIOL4590,001,Angela Tanzillo-Swarts,10:30,11:50,MW,Gateway Center (GATE) 077
BIOL4590,002,Angela Tanzillo-Swarts,14:30,15:50,MW,Life Sciences Complex (LIFE) 112
BIOL3800,001,Lauren Bohenek,16:30,17:50,MW,Wooten Hall (WH) 169
BIOL3800,002,Lauren Bohenek,12:00,14:50,Th,Environmental Science Building (ENV) 291
BIOL3800,003,Lisa R. Welch,09:00,11:50,Th,Gateway Center (GATE) 058
BIOL3800,004,Lisa R. Welch,11:00,13:50,Th,Hickory Hall (HICK) 223
BIOL3996,001,Patrick Horn,14:00,14:50,MWF,General Academic Building (GAB) 108
BIOL3996,002,Patrick Horn,13:30,14:50,MW,Chemistry Building (CHEM) 249
BIOL1112,001,Claudia Gonzalez Villarreal,13:00,13:50,MWF,Business Leadership Building (BLB) 034
BIOL1112,002,Claudia Gonzalez Villarreal,16:00,16:50,MWF,Art Building (ART) 229
BIOL1112,003,Janet L. Ray,09:00,09:50,MWF,Matthews Hall (MATT) 109
BIOL1112,004,Janet L. Ray,09:00,09:50,MWF,Business Leadership Building (BLB) 151
BIOL2140,001,Jaime L. Baxter-Slye,15:30,16:50,MW,Business Leadership Building (BLB) 017
BIOL2140,002,Jaime L. Baxter-Slye,16:00,16:50,MWF,Business Leadership Building (BLB) 239
BIOL2140,003,James C. Bednarz,16:00,16:50,MWF,Auditorium Building (AUD) 218
BIOL2140,004,James C. Bednarz,14:30,15:50,TuTh,Business Leadership Building (BLB) 067
BIOL4440,001,Jim Junker,12:00,14:50,M,Art Annex (ARTA) 113
BIOL4440,002,Jim Junker,15:00,17:50,T,Art Annex (ARTA) 106
BIOL4005,001,Andrew J. Gregory,16:30,17:50,MW,Art Annex (ARTA) 103
BIOL4005,002,Andrew J. Gregory,12:00,14:50,T,Business Leadership Building (BLB) 063
BIOL4005,003,Jaime L. Baxter-Slye,11:00,11:50,MWF,General Academic Building (GAB) 101
BIOL4005,004,Jaime L. Baxter-Slye,11:30,12:50,MW,Business Leadership Building (BLB) 192
BIOL4005,005,Jason Bohenek,16:00,16:50,MWF,Life Sciences Complex (LIFE) 275
BIOL4005,006,Jason Bohenek,11:30,12:50,TuTh,Art Building (ART) 224
BIOL4005,007,Joy Ogbechi,08:30,09:50,TuTh,Chemistry Building (CHEM) 137
BIOL4005,008,Joy Ogbechi,16:30,17:50,TuTh,Chemistry Building (CHEM) 144
BIOL4005,009,Mauricio S. Antunes,08:00,08:50,MWF,Business Leadership Building (BLB) 143
BIOL4005,010,Mauricio S. Antunes,11:30,12:50,MW,Music Building (MUSI) 120
BIOL4005,011,Neal Smatresk,10:00,10:50,MWF,Chemistry Building (CHEM) 113
BIOL4005,012,Neal Smatresk,14:30,15:50,TuTh,Wooten Hall (WH) 129
BIOL4005,013,Yanxiao Han,15:00,15:50,MWF,Matthews Hall (MATT) 111
BIOL4005,014,Yanxiao Han,15:00,15:50,MWF,Wooten Hall (WH) 156
BIOL3170,001,Ann Price,08:00,10:50,F,Environmental Science Building (ENV) 217
BIOL3170,002,Ann Price,08:00,10:50,M,Matthews Hall (MATT) 306
BIOL4054,001,Ricardo Rozzi,09:00,11:50,Th,Matthews Hall (MATT) 102
BIOL4054,002,Ricardo Rozzi,13:00,13:50,MWF,Business Leadership Building (BLB) 156
BIOL4054,003,Zacchaeus G. Compson,12:30,13:50,TuTh,Music Building (MUSI) 135
BIOL4054,004,Zacchaeus G. Compson,14:30,15:50,MW,Wooten Hall (WH) 175
BIOL3510,001,Bojun Chen,09:30,10:50,MW,Business Leadership Building (BLB) 088
BIOL3510,002,Bojun Chen,11:00,13:50,Th,Matthews Hall (MATT) 107
BIOL3510,003,Jessica L. Moore,14:30,15:50,MW,Auditorium Building (AUD) 203
BIOL3510,004,Jessica L. Moore,12:30,13:50,MW,Art Annex (ARTA) 109
BIOL3510,005,Regina Oyesanya,15:00,17:50,M,Gateway Center (GATE) 146
BIOL3510,006,Regina Oyesanya,14:00,14:50,MWF,Business Leadership Building (BLB) 052
BIOL3510,007,Roisin C. McGarry,08:00,10:50,F,Hickory Hall (HICK) 235
BIOL3510,008,Roisin C. McGarry,14:30,15:50,TuTh,Art Annex (ARTA) 127
BIOL1760,001,Ipsita Lahiri,12:30,13:50,TuTh,Environmental Science Building (ENV) 190
BIOL1760,002,Ipsita Lahiri,16:00,16:50,MWF,Life Sciences Complex (LIFE) 219
BIOL1760,003,Nathaniel Peterson,11:00,11:50,MWF,Business Leadership Building (BLB) 049
BIOL1760,004,Nathaniel Peterson,09:30,10:50,MW,Chemistry Building (CHEM) 246
BIOL4570,001,Ikjot Singh Sohal,14:30,15:50,TuTh,Hickory Hall (HICK) 249
BIOL4570,002,Ikjot Singh Sohal,12:00,12:50,MWF,General Academic Building (GAB) 105
BIOL1710,001,Ann Price,12:00,12:50,MWF,Art Building (ART) 211
BIOL1710,002,Ann Price,10:00,10:50,MWF,Music Building (MUSI) 125
BIOL1710,003,Joy Ogbechi,08:00,08:50,MWF,Gateway Center (GATE) 135
BIOL1710,004,Joy Ogbechi,14:00,14:50,MWF,Auditorium Building (AUD) 214
BIOL1710,005,Regina Oyesanya,13:00,13:50,MWF,Environmental Science Building (ENV) 284
BIOL1710,006,Regina Oyesanya,09:00,09:50,MWF,General Academic Building (GAB) 339
